DIST;POWER;SWING
167.7;0.24;75
167.7;0.24;95
167.7;0.26;75
167.9;0.24;25
167.9;0.25;110
168;0.25;95
168.5;0.24;0
168.5;0.25;25
168.6;0.25;0
168.9;0.26;45
169.1;0.26;95
169.2;0.24;95
169.3;0.25;95
169.4;0.24;110
169.6;0.26;60
169.7;0.26;45
169.8;0.25;110
169.9;0.26;0
169.9;0.26;110
170.3;0.26;25
170.3;0.26;110
170.4;0.26;25
170.5;0.24;0
170.9;0.25;75
171;0.26;45
171.1;0.25;110
171.3;0.26;75
171.5;0.24;25
171.5;0.25;0
171.5;0.26;75
171.9;0.26;45
172.1;0.25;25
172.4;0.26;60
172.5;0.25;0
172.5;0.26;110
172.6;0.24;110
172.7;0.25;25
172.7;0.25;25
172.7;0.26;75
172.9;0.25;0
172.9;0.26;45
173.5;0.26;110
173.7;0.24;25
173.7;0.26;0
173.7;0.26;75
174.1;0.26;60
174.2;0.26;0
174.3;0.26;45
174.3;0.26;75
174.6;0.26;60
174.8;0.25;45
174.9;0.25;110
175;0.30;110
175.1;0.24;75
176.3;0.24;95
177.4;0.24;110
177.4;0.26;110
177.6;0.30;25
177.8;0.30;25
179.5;0.26;25
179.9;0.26;60
181.2;0.25;110
181.5;0.26;110
182.2;0.26;45
182.4;0.26;75
182.6;0.25;25
183.1;0.30;60
183.3;0.30;60
183.4;0.26;95
184.1;0.26;60
184.5;0.26;75
184.6;0.26;0
184.7;0.24;0
184.9;0.26;110
185.2;0.26;0
185.7;0.25;25
186.5;0.26;25
187.3;0.26;25
187.3;0.30;25
188.9;0.26;0
189.3;0.25;25
189.6;0.30;60
191.3;0.33;25
191.3;0.33;75
192;0.26;0
192.1;0.26;60
192.7;0.30;110
193.8;0.26;0
193.9;0.26;110
193.9;0.30;25
193.9;0.30;75
194.1;0.30;60
195.5;0.30;25
196.4;0.30;60
196.8;0.26;0
198;0.30;110
198.3;0.30;110
198.5;0.30;95
199;0.30;110
199.9;0.26;25
200.5;0.30;25
201;0.30;60
201.5;0.30;110
201.8;0.30;0
202;0.30;25
202.5;0.30;0
202.7;0.30;110
204.4;0.30;95
204.7;0.30;75
205;0.30;25
205.1;0.30;95
205.1;0.30;95
205.7;0.30;60
206;0.30;0
206.5;0.30;95
206.5;0.30;110
206.9;0.30;25
207.7;0.30;75
208.3;0.30;75
208.4;0.33;110
208.6;0.30;95
208.9;0.30;75
209.7;0.30;75
210;0.30;110
210.4;0.33;110
211.3;0.33;25
211.9;0.33;95
212;0.30;0
212.7;0.33;0
212.8;0.33;0
212.9;0.30;110
